id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000030,映画ドラえもん のび太と空の理想郷,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::0fee9b4a73b5ebbc700c7487bb2d2684a9b6289e34720f896ae45895d9b71946,2026-09-12
A00000031,デリシャスパーティ♡プリキュア,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::de70773bc63c29adae864368e1d0073f5f2a1ebb1b9b77a7f5167dc61381c8b6,2026-09-12
A00000032,ドラえもん,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::3b4f49ad6b998b5dae00d92c7e8965c336d222468ce0ff7d304ef8f1a3e2d684,2026-09-12
A00000033,うる星やつら,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::4201c7332508c2aecc3b2a857719d92c0a7cd91fb295a8034bdfc0b5384462f0,2026-09-12
A00000034,イジらないで、長瀞さん 2nd Attack,,,,,TV,,,,,Sfec6b5eefa54ac9b0f24d870d871eaafdd2d557591db81f88f846dde5b555d2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::1039157680653c6bc2e868d816d3c299565cdc50dfd4d975d924d7f73912eeea,2026-09-12
A00000035,おもひでぽろぽろ,,,,,MOVIE,,,,,S2e1d7730e0a702dc29d8f19ed4eaacac4545fcc9355e580005aa5f53c175c931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::ce1b03bc241d304884c1e07062262e13825ae18033de313a1d2cfee53c98ec04,2026-09-12
A00000036,ゾンビランドサガ リベンジ,,,,,TV,,,,,Se89733c512344c004566d9052b51754692919208c49ea10479c6d4b13d51a1f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::ebc85a978b2041c3361a05242c4381e9469d3b5c0f1c6b0023ce52ec8fa4afa4,2026-09-12
A00000037,ポプテピピック,,,,,TV,2022-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OP::PSYCHO:LOGY::::::::,,,,,,,,,,,,,,,,http://hoshiiro.jp/,,,,discovery-key::9d52bb3e259382637c9324e048e1ccf174e2a03baccd6f654796611bce4eba34,2026-09-12
A00000038,スーパーカブ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::6f03ec2b0776bdb6cf3b46eabaa5767c7840004535745ab2ea0c77c592e63edd,2026-09-12
A00000039,会長はメイド様!,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::d60c64a403c4da9ee4b0734b44bcb4f604792ee4fb6b4c180ab59abcaa14e7bb,2026-09-12
A00000040,それだけがネック,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::944c3a1a0f12564b370418ea1efe01ed0bc46db06f95e1a1888e1e99facee811,2026-09-12
A00000041,ホリミヤ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::bf09f5b33a129834a54e335a2243ac9299e996c7fbe901b10e171c14ecf4f447,2026-09-12
A00000042,白い砂のアクアトープ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::fe499dfebe22111de130811cb9bdaca8d465eb66dab5cd6b5fa9b3ea0a0e4137,2026-09-12
A00000043,亜人,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::8071b3f070693840fc8346d2459889f51ecd86eedb7b350fe99cc7ea989cd77d,2026-09-12
