id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000031,僕の心のヤバイやつ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e33d77265f319717b0c4edab028947567d148d9fd396bce011f9de8c1db4a7ee,2026-09-10
A00000032,薬屋のひとりごと,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::080d0ef8df4e0ca346368c471f0fa77f795993145e280c6b3363e523fea7c95a,2026-09-10
A00000033,時々ボソッとロシア語でデレる隣のアーリャさん,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::9fb90be6330646aaabb9325c95812d802aee6c29a48af47bc28ebaed32154d43,2026-09-10
A00000034,君のことが大大大大大好きな100人の彼女,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::ffd5b666faea40e50d991e19d12e3756e5c23c682c0f3b07ea3ddd09c4bd325f,2026-09-10
A00000035,オーバーテイク!,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::a956ad4a8d0123b53a65d878ae93ac550f836f268b81963fadd3ccf2e896398c,2026-09-10
A00000036,青春ブタ野郎はおでかけシスターの夢を見ない,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-23,,,,,,,,,,,discovery-key::d4fcb87a9db601ca2721e3bb733987139684e78e92a2d637d233f946f036e811,2026-09-10
A00000037,先輩はおとこのこ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::40fcc69748e262cc7fd4c277e7abc42df0388b58c3211794aa881a9888a25c97,2026-09-10
A00000038,戦隊大失格,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::6cd0380d5d00aea380dbc1bc4bd4dc272d538a2094db75684a47b8508dbf40e3,2026-09-10
A00000039,Fate/strange Fake,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::62afb39a181b744f6d6a531f1267cd002124da7b1b2d8057018a3957ea986c9b,2026-09-10
A00000040,メダリスト,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::44f5fe3d5efdd4038461774395a9f8c5d212592e707a3e5e879db9d380b11af0,2026-09-10
